link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,street,lon,lat
https://www.immoweb.be/en/classified/house/for-sale/sint-genesius-rode/1640/20203873,20203873,SINT-GENESIUS-RODE,1640,285000,HOUSE,HOUSE,2,79,,1,null,null,4,0,160,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,Bronstraatje,4.3555122,50.7393766
https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/20331366,20331366,Tienen,3300,285000,HOUSE,HOUSE,4,142,,0,28,246,2,0,430,,AS_NEW,FOR_SALE,Oplintersesteenweg,4.9439711,50.8144632
https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/20394727,20394727,Gent Sint-Denijs-Westrem,9051,369000,APARTMENT,APARTMENT,2,85,0,0,5,null,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Sint-Dionysiusstraat,3.6691454,51.0193988
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/10857627,10857627,ANTWERPEN,2060,229000,APARTMENT,APARTMENT,2,85,,0,,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE,Korte Zavelstraat,4.4266805,51.22300389999999
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/9750718,9750718,MORTSEL,2640,195000,APARTMENT,APARTMENT,2,99,,0,,null,2,0,,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,Antwerpsestraat,4.441884,51.17398439999999
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20320335,20320335,Anzegem,8570,330000,HOUSE,HOUSE,3,164,0,0,null,null,2,0,246,INSTALLED,JUST_RENOVATED,FOR_SALE,Heuntjesstraat,3.4711719,50.844328
https://www.immoweb.be/en/classified/house/for-sale/chatelineau/6200/20314394,20314394,CHÂTELINEAU,6200,179000,HOUSE,HOUSE,3,200,,0,,null,3,0,389,,TO_RENOVATE,FOR_SALE,,,
https://www.immoweb.be/en/classified/duplex/for-sale/chatelet/6200/11381880,11381880,Châtelet,6200,180000,APARTMENT,DUPLEX,3,144,0,0,7,null,2,0,,INSTALLED,AS_NEW,FOR_SALE,Place Albert Ier,4.5158388,50.3904267
https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/20329690,20329690,Tielt,8700,299000,HOUSE,HOUSE,4,191,,0,19,323,2,0,467,,TO_BE_DONE_UP,FOR_SALE,Pontweg,3.333385,51.0044864
https://www.immoweb.be/en/classified/house/for-sale/chatelet/6200/20399426,20399426,Châtelet,6200,119000,HOUSE,HOUSE,3,115,0,0,20,null,2,0,0,,GOOD,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen-2060/2060/20402878,20402878,Antwerpen (2060),2060,299000,HOUSE,HOUSE,4,160,,0,null,null,0,0,47,,GOOD,FOR_SALE,Trapstraat,4.4229302,51.2277295
https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/20394725,20394725,Gent Sint-Denijs-Westrem,9051,398000,APARTMENT,APARTMENT,2,94,0,0,3,null,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Sint-Dionysiusstraat,3.6691454,51.0193988
https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20302632,20302632,Anzegem,8570,1670000,APARTMENT,APARTMENT,0,420,0,0,null,null,4,0,,,GOOD,FOR_SALE,Langestraat,3.4926041,50.8249366
https://www.immoweb.be/en/classified/villa/for-sale/frasnes-lez-gosselies/6210/20402366,20402366,Frasnes-lez-Gosselies,6210,599000,HOUSE,VILLA,6,330,0,0,40,3210,4,1,3375,INSTALLED,GOOD,FOR_SALE,Rue François Givron,4.4491474,50.5423118
https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/20235587,20235587,Rhode-Saint-Genèse,1640,785000,HOUSE,HOUSE,7,250,,0,null,null,4,0,970,,GOOD,FOR_SALE,Avenue des Cerisiers,4.3698587,50.7518398
https://www.immoweb.be/en/classified/house/for-sale/la-louviere-saint-vaast/7100/20402642,20402642,La Louvière Saint-Vaast,7100,135000,HOUSE,HOUSE,3,120,0,0,,null,3,0,165,INSTALLED,GOOD,FOR_SALE,Rue Marcel Galle,4.1654078,50.46198520000001
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20180006,20180006,Anzegem,8570,395000,HOUSE,HOUSE,3,366,0,0,null,null,4,0,1685,,GOOD,FOR_SALE,Wortegemsesteenweg,3.4840509,50.8354612
https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/10788645,10788645,Mons,7000,266000,APARTMENT,APARTMENT,3,107,0,0,null,null,3,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Chemin de la Procession,3.9694848,50.4614426
https://www.immoweb.be/en/classified/apartment/for-sale/balen/2490/20379533,20379533,Balen,2490,425000,APARTMENT,APARTMENT,4,295,,0,null,null,0,0,,,,FOR_SALE,Stationsstraat,5.165110299999999,51.1699367
https://www.immoweb.be/en/classified/house/for-sale/suarlee/5020/20402459,20402459,SUARLÉE,5020,349000,HOUSE,HOUSE,3,140,,1,null,null,3,0,159,INSTALLED,JUST_RENOVATED,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20402986,20402986,Balen,2490,570000,HOUSE,HOUSE,4,230,0,0,,null,4,0,759,INSTALLED,AS_NEW,FOR_SALE,Wolstraat,5.223036899999999,51.2068466
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20375060,20375060,Balen,2490,335000,HOUSE,HOUSE,3,154,,0,null,null,4,0,783,,GOOD,FOR_SALE,Krekelstraat,5.194905599999999,51.1796775
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20183991,20183991,Balen,2490,298500,HOUSE,HOUSE,3,170,,1,20,1100,4,1,1349,INSTALLED,TO_BE_DONE_UP,FOR_SALE,Olmensebaan,5.143110699999999,51.1602408
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20380772,20380772,BALEN,2490,549000,HOUSE,HOUSE,5,268,,0,null,null,4,0,0,INSTALLED,AS_NEW,FOR_SALE,Berkensingel,5.1789755,51.1994315
https://www.immoweb.be/en/classified/house/for-sale/florennes-morialme/5621/20402166,20402166,Florennes Morialmé,5621,234000,HOUSE,HOUSE,3,135,0,0,,null,2,1,0,INSTALLED,GOOD,FOR_SALE,Grand Rue,4.5648536,50.2761963
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20000373,20000373,Ardooie,8850,457778,HOUSE,HOUSE,4,,,0,,null,3,0,485,,,FOR_SALE,Sprietstraat,3.1899607,50.9748927
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20172236,20172236,Ardooie,8850,235000,HOUSE,HOUSE,3,186,0,0,null,null,0,0,609,,GOOD,FOR_SALE,Roeselaarsestraat,3.1895963,50.9696657
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20189694,20189694,Ardooie,8850,295000,HOUSE,HOUSE,3,165,0,0,,null,3,1,277,INSTALLED,AS_NEW,FOR_SALE,Roeselaarsestraat,3.1674875,50.9591204
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20401799,20401799,Ardooie,8850,264000,HOUSE,HOUSE,3,159,,0,,null,2,0,385,SEMI_EQUIPPED,GOOD,FOR_SALE,Watervalstraat,3.2001377,50.9838191
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20324313,20324313,Ardooie,8850,699000,HOUSE,HOUSE,4,224,0,0,31,null,4,1,1995,INSTALLED,AS_NEW,FOR_SALE,Pompoenstraat,3.2240131,51.0111259
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20171692,20171692,Ardooie,8850,485000,HOUSE,HOUSE,4,250,,0,20,null,4,0,1354,,AS_NEW,FOR_SALE,Pittemsestraat,3.2148543,50.97755859999999
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20278395,20278395,Ardooie,8850,699000,HOUSE,HOUSE,4,489,0,0,,null,0,1,907,INSTALLED,GOOD,FOR_SALE,Stationsstraat,3.1991456,50.9801768
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/20390248,20390248,Ardooie,8850,275000,HOUSE,HOUSE,3,165,0,0,,null,3,1,277,INSTALLED,AS_NEW,FOR_SALE,Roeselaarsestraat,3.1674875,50.9591204
https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/10286460,10286460,Ardooie,8850,406872,HOUSE,HOUSE,4,,,0,,null,3,0,288,,,FOR_SALE,Boterstraat,3.2203694,50.975773
https://www.immoweb.be/en/classified/apartment-block/for-sale/binche/7130/20402505,20402505,BINCHE,7130,190000,HOUSE,APARTMENT_BLOCK,1,103,,0,null,null,2,0,385,,TO_RENOVATE,FOR_SALE,Rue de Merbes,4.1704307,50.4071648
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20402504,20402504,BINCHE,7130,190000,HOUSE,HOUSE,1,103,,0,null,null,2,0,385,,TO_RENOVATE,FOR_SALE,Rue de Merbes,4.1704307,50.4071648
https://www.immoweb.be/en/classified/house/for-sale/mevergnies/7942/20402475,20402475,Mévergnies,7942,380000,HOUSE,HOUSE,4,186,0,0,18,741,4,0,941,HYPER_EQUIPPED,GOOD,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20260315,20260315,Tournai,7500,160000,HOUSE,HOUSE,3,190,,0,null,null,2,1,110,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,Rue as Pois,3.3838997,50.6040259
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-lambert/1200/20402175,20402175,Woluwe-Saint-Lambert,1200,549000,HOUSE,MIXED_USE_BUILDING,3,198,0,0,2,78,2,1,200,NOT_INSTALLED,TO_RENOVATE,FOR_SALE,Avenue de Mai,4.4147139,50.8487523
https://www.immoweb.be/en/classified/apartment/for-sale/leglise-leglise/6860/20402530,20402530,Léglise (Léglise),6860,269900,APARTMENT,APARTMENT,2,97,0,0,11,null,2,1,,,,FOR_SALE,Rue des Vieux Prés,5.5399854,49.79841090000001
https://www.immoweb.be/en/classified/apartment/for-sale/leglise-leglise/6860/20402502,20402502,Léglise (Léglise),6860,299000,APARTMENT,APARTMENT,3,116,0,0,11,null,3,1,,,,FOR_SALE,Rue des Vieux Prés,5.5399854,49.79841090000001
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20399726,20399726,Aalst,9300,229000,HOUSE,HOUSE,3,170,0,0,10,84,2,1,250,INSTALLED,TO_RENOVATE,FOR_SALE,Langestraat,4.0690357,50.93961350000001
https://www.immoweb.be/en/classified/house/for-sale/bruyelle/7641/20402550,20402550,BRUYELLE,7641,89500,HOUSE,HOUSE,2,66,,0,null,null,2,0,490,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,Rue Traversière,3.4284985,50.5543193
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/20402660,20402660,Blankenberge,8370,315000,HOUSE,HOUSE,3,174,0,0,null,null,,0,174,,,FOR_SALE,Consciencestraat,3.1249509,51.3139663
https://www.immoweb.be/en/classified/loft/for-sale/ronse/9600/20399475,20399475,RONSE,9600,169950,APARTMENT,LOFT,1,160,,0,null,null,2,0,,NOT_INSTALLED,GOOD,FOR_SALE,Langehaag,3.5926185,50.7525173
https://www.immoweb.be/en/classified/villa/for-sale/anseremme/5500/20402654,20402654,Anseremme,5500,425000,HOUSE,VILLA,5,182,,0,null,null,4,0,1259,SEMI_EQUIPPED,,FOR_SALE,Rue de la montagne,4.892159,50.232592
https://www.immoweb.be/en/classified/villa/for-sale/blankenberge/8370/20402523,20402523,Blankenberge,8370,569000,HOUSE,VILLA,3,175,,0,null,null,4,0,545,,GOOD,FOR_SALE,De Wandelaar,3.1445751,51.3140973
