link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/aiseau-presles/6250/20335325,20335325,Aiseau-Presles,6250,120000,APARTMENT,APARTMENT,2,102,,0,12,null,3,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bray/7130/20212381,20212381,BRAY,7130,135000,HOUSE,HOUSE,2,122,,0,,null,2,0,165,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/10524449,10524449,Binche,7130,110000,HOUSE,HOUSE,2,133,,0,null,81,2,0,141,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20322652,20322652,BINCHE,7130,200000,HOUSE,HOUSE,3,171,,0,25,null,2,0,150,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aiseau/6250/20290204,20290204,Aiseau,6250,219000,HOUSE,HOUSE,3,137,,0,11,47,2,1,155,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20251715,20251715,Dilbeek,1700,695000,HOUSE,HOUSE,3,280,0,0,36,374,3,1,374,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/walcourt/5651/20151469,20151469,Walcourt,5651,95000,HOUSE,HOUSE,3,,,0,null,null,3,1,0,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20169037,20169037,BINCHE,7130,75000,HOUSE,HOUSE,3,106,,0,,null,2,0,120,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tarciennes/5651/20295625,20295625,Tarciennes,5651,199000,HOUSE,HOUSE,3,195,,0,42,280,3,1,439,,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/pont-de-loup/6250/20315323,20315323,PONT-DE-LOUP,6250,215000,HOUSE,HOUSE,3,93,,0,20,20,3,0,171,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/presles/6250/10865128,10865128,Presles,6250,69500,HOUSE,VILLA,5,225,,0,,null,4,0,482,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kortemark/8610/20371093,20371093,Kortemark,8610,265000,HOUSE,HOUSE,4,151,,1,null,null,4,0,1483,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20110870,20110870,Gembloux,5030,339000,HOUSE,HOUSE,5,270,,1,,null,0,0,1304,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/gembloux/5030/11380916,11380916,Gembloux,5030,429000,HOUSE,VILLA,4,161,,1,,null,4,0,985,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20121583,20121583,BINCHE,7130,130000,HOUSE,HOUSE,2,138,,0,,null,2,0,85,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20059600,20059600,BINCHE,7130,75000,HOUSE,HOUSE,3,148,,0,null,null,2,0,130,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aiseau-presles/6250/20246410,20246410,Aiseau-Presles,6250,899000,HOUSE,HOUSE,4,276,0,0,51,4595,4,1,4751,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/walcourt/5651/20292982,20292982,Walcourt,5651,550000,HOUSE,VILLA,3,331,,1,22,3000,4,1,13500,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20177055,20177055,Gembloux,5030,339000,HOUSE,HOUSE,4,260,,0,26,615,0,0,615,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/binche/7130/20362385,20362385,BINCHE,7130,165000,APARTMENT,APARTMENT,2,68,,0,null,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/11120536,11120536,Gembloux,5030,350000,HOUSE,HOUSE,3,220,,0,null,1421,0,0,1421,,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berzee/5651/20032796,20032796,Berzée,5651,329000,HOUSE,HOUSE,3,171,,0,null,null,3,0,578,NOT_INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aiseau-presles-aiseau/6250/20289618,20289618,Aiseau-Presles Aiseau,6250,361513,HOUSE,HOUSE,3,184,,0,null,null,4,0,792,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/binche/7130/20390562,20390562,BINCHE,7130,105000,APARTMENT,APARTMENT,1,86,,0,null,null,0,0,,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/thy-le-chateau/5651/20213312,20213312,THY-LE-CHÂTEAU,5651,275000,HOUSE,HOUSE,3,150,,0,31,null,3,0,119,USA_HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/11020237,11020237,Gembloux,5030,219000,HOUSE,HOUSE,4,216,,1,,null,0,0,1262,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/11314793,11314793,Gembloux,5030,395000,HOUSE,HOUSE,4,163,,0,,665,0,0,665,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/angleur/4031/20309366,20309366,ANGLEUR,4031,275000,HOUSE,HOUSE,2,130,,1,,null,4,0,788,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kortemark/8610/20371736,20371736,Kortemark,8610,310000,HOUSE,HOUSE,2,233,,0,,null,4,0,659,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/handzame/8610/20275357,20275357,Handzame,8610,262850,APARTMENT,APARTMENT,2,83,0,0,47,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/thy-le-chateau/5651/20333878,20333878,Thy-le-château,5651,500000,HOUSE,HOUSE,3,123,,0,78,723,4,1,888,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aiseau-presles-pontde-loup/6250/20342295,20342295,Aiseau-Presles Pontde-Loup,6250,420397,HOUSE,HOUSE,4,147,,0,null,null,4,0,2400,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kortemark/8610/20371367,20371367,Kortemark,8610,289000,APARTMENT,APARTMENT,3,150,0,0,12,null,2,1,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gembloux/5030/20256315,20256315,GEMBLOUX,5030,209000,APARTMENT,APARTMENT,3,101,,0,6,null,4,0,,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kortemark/8610/20306364,20306364,KORTEMARK,8610,159000,APARTMENT,APARTMENT,2,80,,0,,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20389081,20389081,Dilbeek,1700,395000,HOUSE,HOUSE,4,190,0,0,null,29,4,1,186,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4031/20349219,20349219,Liège,4031,390000,HOUSE,APARTMENT_BLOCK,6,145,0,0,null,null,2,1,200,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/binche/7130/20317975,20317975,BINCHE,7130,240000,HOUSE,HOUSE,4,205,,0,,null,2,0,0,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kortemark/8610/20348292,20348292,Kortemark,8610,245000,HOUSE,HOUSE,5,245,,0,null,106,2,0,350,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/20338064,20338064,DILBEEK,1700,199000,APARTMENT,APARTMENT,2,91,,0,null,null,0,0,,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20061318,20061318,Gembloux,5030,329000,HOUSE,HOUSE,4,125,0,0,,null,4,1,838,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4031/20180713,20180713,Liège,4031,420000,HOUSE,APARTMENT_BLOCK,6,220,0,0,20,195,2,1,347,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10806049,10806049,Dilbeek,1700,449000,APARTMENT,APARTMENT,3,110,0,0,30,200,4,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/houffalize/6660/20127653,20127653,Houffalize,6660,350000,HOUSE,HOUSE,13,461,1,0,null,null,4,1,1756,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/angleur/4031/20042068,20042068,Angleur,4031,219000,APARTMENT,APARTMENT,4,120,,0,3,null,2,1,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20368374,20368374,GEMBLOUX,5030,395000,HOUSE,HOUSE,4,205,,0,null,null,3,0,585,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/steenokkerzeel/1820/20309508,20309508,Steenokkerzeel,1820,545000,HOUSE,HOUSE,3,238,,1,1,16,3,1,1700,USA_SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gembloux/5030/20302387,20302387,GEMBLOUX,5030,4500000,HOUSE,HOUSE,7,1200,0,0,100,null,4,1,64300,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/steenokkerzeel/1820/20326535,20326535,Steenokkerzeel,1820,390000,HOUSE,HOUSE,3,147,,0,null,958,4,1,1105,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/20246427,20246427,Dilbeek,1700,895000,HOUSE,VILLA,4,,0,0,,3627,4,1,4172,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/houffalize/6660/20318395,20318395,HOUFFALIZE,6660,249000,HOUSE,TOWN_HOUSE,3,164,0,0,null,null,4,1,704,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege/4031/20006618,20006618,LIÈGE,4031,75000,HOUSE,HOUSE,4,138,,0,9,40,2,0,0,NOT_INSTALLED,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bray-binche/7130/20331274,20331274,Bray (Binche),7130,220000,HOUSE,HOUSE,4,145,0,0,,null,3,1,504,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4031/20378332,20378332,Liège,4031,625000,HOUSE,APARTMENT_BLOCK,6,330,1,0,12,100,3,1,0,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/liege/4031/20390447,20390447,Liege,4031,450000,APARTMENT,GROUND_FLOOR,3,150,0,0,30,null,4,0,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/floreffe/5150/11458947,11458947,Floreffe,5150,428500,HOUSE,HOUSE,3,,,1,45,2000,3,1,2000,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/20331974,20331974,Dilbeek,1700,239000,APARTMENT,APARTMENT,2,70,,0,null,null,2,1,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/20379093,20379093,Dilbeek,1700,205000,APARTMENT,APARTMENT,3,83,,0,,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20158892,20158892,DILBEEK,1700,329000,HOUSE,HOUSE,3,182,,0,,null,2,0,126,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mansion/for-sale/liege/4031/20103563,20103563,Liège,4031,345000,HOUSE,MANSION,5,273,,0,null,null,2,1,244,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/dilbeek/1700/20377766,20377766,Dilbeek,1700,1295000,HOUSE,EXCEPTIONAL_PROPERTY,4,332,0,0,170,null,4,0,4017,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/liege-angleur/4031/20338530,20338530,Liège Angleur,4031,220000,HOUSE,HOUSE,5,268,0,0,6,null,2,0,110,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/steenokkerzeel/1820/20364988,20364988,Steenokkerzeel,1820,950000,HOUSE,MIXED_USE_BUILDING,4,290,,1,130,1400,4,1,4982,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/20193820,20193820,Dilbeek,1700,700000,HOUSE,VILLA,4,310,0,0,40,350,4,0,541,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/thuin/6530/20359765,20359765,Thuin,6530,250000,HOUSE,HOUSE,4,126,0,0,30,500,4,0,730,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20316952,20316952,Oosterzele,9860,199000,HOUSE,HOUSE,3,204,,0,,null,3,0,553,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20394807,20394807,Woluwe-Saint-Lambert,1200,580000,APARTMENT,APARTMENT,3,138,0,0,,null,2,1,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/scheldewindeke/9860/20366191,20366191,SCHELDEWINDEKE,9860,645000,HOUSE,VILLA,4,230,,1,,null,3,0,1100,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20382994,20382994,Tournai,7500,229000,APARTMENT,APARTMENT,3,105,0,0,25,null,2,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20254157,20254157,Berlaar,2590,575000,HOUSE,HOUSE,3,191,,0,null,null,3,0,583,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20397516,20397516,Tournai,7500,475000,HOUSE,HOUSE,10,557,0,0,,949,4,1,949,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20375243,20375243,Tournai,7500,205000,HOUSE,HOUSE,3,132,0,0,,null,2,1,161,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/tournai/7500/11433802,11433802,Tournai,7500,229000,HOUSE,APARTMENT_BLOCK,2,101,0,0,null,null,2,0,48,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/melin/1370/20271294,20271294,MÉLIN,1370,895000,HOUSE,EXCEPTIONAL_PROPERTY,4,404,,1,,9226,4,0,9226,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/jodoigne/1370/20348777,20348777,JODOIGNE,1370,900000,HOUSE,APARTMENT_BLOCK,6,570,,0,,null,,0,2130,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/oosterzele/9860/20357256,20357256,Oosterzele,9860,795000,HOUSE,VILLA,4,363,,1,,null,4,0,2687,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20349559,20349559,Tournai,7500,155000,HOUSE,HOUSE,4,250,,0,null,null,3,0,258,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20327693,20327693,Berlaar,2590,445000,HOUSE,HOUSE,3,181,,1,,null,4,1,608,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/tournai/7500/20349558,20349558,Tournai,7500,155000,HOUSE,MIXED_USE_BUILDING,4,250,,0,null,null,3,0,258,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20348776,20348776,JODOIGNE,1370,900000,HOUSE,HOUSE,6,570,,0,,null,,0,2130,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20384430,20384430,Woluwe-Saint-Lambert,1200,410000,APARTMENT,APARTMENT,2,103,0,0,11,null,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/mansion/for-sale/tournai/7500/20158502,20158502,Tournai,7500,375000,HOUSE,MANSION,5,216,0,0,17,164,2,0,240,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20298470,20298470,BERLAAR,2590,669000,HOUSE,HOUSE,4,238,,0,null,null,4,0,1313,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20337220,20337220,Woluwe-Saint-Lambert,1200,1090000,APARTMENT,PENTHOUSE,4,215,1,0,45,null,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20254495,20254495,Jodoigne,1370,295000,HOUSE,HOUSE,2,101,0,0,40,365,4,1,457,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-lambrechts-woluwe/1200/20335005,20335005,Sint-Lambrechts-Woluwe,1200,399000,APARTMENT,APARTMENT,2,87,0,0,21,null,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20325901,20325901,WEMMEL,1780,335000,HOUSE,HOUSE,2,186,,0,5,20,2,0,110,USA_HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20346897,20346897,Tournai,7500,219000,APARTMENT,APARTMENT,1,78,,0,null,null,1,1,,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20394753,20394753,Woluwe-Saint-Lambert,1200,275000,APARTMENT,APARTMENT,2,70,0,0,3,null,2,1,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/wemmel/1780/20162393,20162393,WEMMEL,1780,569000,HOUSE,MIXED_USE_BUILDING,4,300,,0,31,32,2,0,180,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/wemmel/1780/20180724,20180724,Wemmel,1780,675000,HOUSE,VILLA,5,284,0,0,50,500,4,1,1210,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/jodoigne/1370/20163835,20163835,Jodoigne,1370,175000,APARTMENT,APARTMENT,2,94,0,0,null,null,2,1,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wemmel/1780/20386275,20386275,Wemmel,1780,215000,APARTMENT,APARTMENT,2,77,,0,22,null,2,1,,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20382612,20382612,Woluwe-Saint-Lambert,1200,490000,APARTMENT,APARTMENT,2,100,0,0,34,null,2,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20365451,20365451,Woluwe-Saint-Lambert,1200,550000,APARTMENT,APARTMENT,3,136,0,0,9,null,2,1,,HYPER_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/flat-studio/for-sale/wemmel/1780/20166249,20166249,Wemmel,1780,125000,APARTMENT,FLAT_STUDIO,0,26,0,0,10,null,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/berlaar/2590/20277856,20277856,BERLAAR,2590,380000,HOUSE,TOWN_HOUSE,2,159,,0,null,null,3,0,345,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20383154,20383154,Tournai,7500,119000,APARTMENT,APARTMENT,1,55,0,0,,null,2,1,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20368013,20368013,Wemmel,1780,395000,HOUSE,HOUSE,4,175,0,0,,null,2,1,203,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/wemmel/1780/20322792,20322792,Wemmel,1780,649000,HOUSE,VILLA,4,253,0,0,,350,4,0,654,HYPER_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20254338,20254338,Tournai,7500,229000,APARTMENT,APARTMENT,2,97,0,0,null,null,2,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/11437578,11437578,Jodoigne,1370,387940,HOUSE,HOUSE,4,129,0,0,50,null,4,1,966,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/wemmel/1780/20325902,20325902,WEMMEL,1780,335000,HOUSE,APARTMENT_BLOCK,2,186,,0,5,20,2,0,110,USA_HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20380043,20380043,WOLUWE-SAINT-LAMBERT,1200,395000,APARTMENT,APARTMENT,1,55,0,0,20,null,2,0,,USA_HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20382623,20382623,Berlaar,2590,515000,HOUSE,HOUSE,4,205,,0,,null,4,0,381,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/10545816,10545816,BERLAAR,2590,459000,HOUSE,HOUSE,4,226,,0,null,null,4,0,0,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/wemmel/1780/11118843,11118843,Wemmel,1780,2750000,HOUSE,COUNTRY_COTTAGE,4,580,,1,,5630,4,1,5630,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20366611,20366611,Woluwe-Saint-Lambert,1200,250000,APARTMENT,APARTMENT,2,86,0,0,16,null,4,1,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20282720,20282720,Berlaar,2590,445000,HOUSE,HOUSE,3,185,,0,30,250,3,1,438,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/marchienne-au-pont/6030/11437387,11437387,Marchienne-au-Pont,6030,84900,HOUSE,HOUSE,1,101,0,0,,null,2,0,60,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20283915,20283915,Wachtebeke,9185,257000,HOUSE,HOUSE,4,120,,0,null,115,3,0,226,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/wachtebeke/9185/20237666,20237666,Wachtebeke,9185,419000,APARTMENT,DUPLEX,4,222,,0,null,null,2,1,,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/temse/9140/20295638,20295638,Temse,9140,349000,HOUSE,HOUSE,5,329,,0,,108,2,0,300,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/courcelles-gouylez-pieton/6181/20314366,20314366,Courcelles Gouylez-Piéton,6181,80000,HOUSE,HOUSE,2,90,0,0,null,null,2,1,0,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20327302,20327302,Wachtebeke,9185,949000,HOUSE,HOUSE,3,189,0,0,,1120,4,1,2761,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20105018,20105018,Wachtebeke,9185,549000,HOUSE,HOUSE,4,178,0,0,21,288,4,1,465,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20241969,20241969,Wachtebeke,9185,275000,HOUSE,HOUSE,3,116,,0,null,null,3,0,330,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/temse/9140/20383986,20383986,Temse,9140,319000,HOUSE,HOUSE,2,113,,0,null,null,0,0,260,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/wachtebeke/9185/20189342,20189342,WACHTEBEKE,9185,800000,APARTMENT,APARTMENT,5,227,,0,,null,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6030/20350549,20350549,Charleroi,6030,60000,HOUSE,HOUSE,3,,,0,null,null,,0,675,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/temse/9140/20353605,20353605,Temse,9140,179900,APARTMENT,APARTMENT,2,96,,0,,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/courcelles-gouylez-pieton/6181/11288954,11288954,Courcelles Gouylez-Piéton,6181,415000,HOUSE,VILLA,3,135,,0,null,null,4,0,0,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sprimont-louveigne/4141/20031030,20031030,Sprimont Louveigné,4141,388000,HOUSE,HOUSE,3,130,0,0,,null,4,1,794,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/temse/9140/20319188,20319188,TEMSE,9140,249000,APARTMENT,APARTMENT,3,116,,0,null,null,2,0,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gouy-lez-pieton/6181/20118335,20118335,Gouy-lez-Piéton,6181,155000,HOUSE,HOUSE,3,155,0,0,20,150,3,1,229,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/courcelles/6181/20154809,20154809,Courcelles,6181,175000,HOUSE,HOUSE,2,,,0,null,null,4,1,518,INSTALLED,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/temse/9140/20382442,20382442,Temse,9140,215000,APARTMENT,APARTMENT,2,74,,0,,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/gouylez-pieton/6181/10407147,10407147,Gouylez-Piéton,6181,349000,HOUSE,MIXED_USE_BUILDING,3,,0,0,null,null,2,1,0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/temse/9140/20363979,20363979,Temse,9140,145000,APARTMENT,APARTMENT,1,54,,0,,null,0,0,,,GOOD,FOR_SALE
